"Campaign name",Day,"Delivery status","Delivery level","Campaign name","Attribution setting","Result Type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)","CPM (cost per 1,000 impressions)","Clicks (all)","CTR (all)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Link clicks","Unique clicks (all)","CPC (cost per link click)","Reporting starts","Reporting ends"
,,,,,,"Mobile app installs",,450064,594110,,0,0,0,100,0.168319,6689,1.12588578,221932,206171,118103,105410,74801,59557,5459,5618,0.01831837,2022-12-28,2023-01-04
"Emoji Quiz Android Campaign",2023-01-04,recently_completed,campaign,"Emoji Quiz Android Campaign","1-day click","Mobile app installs",400,56481,58860,0.0219,-,-,-,8.76,0.14882773,748,1.2708121,23479,21670,11988,10708,7735,6286,620,643,0.01412903,2023-01-04,2023-01-04
"Emoji Quiz IOS Campaign",2023-01-04,recently_completed,campaign,"Emoji Quiz IOS Campaign","From Apple's SKAdNetwork API [Click-through attribution]","Mobile app installs",199,44865,48790,0.078894472361809,-,-,-,15.7,0.32178725,405,0.83008813,14853,13168,6267,5458,3915,3244,318,346,0.04937107,2023-01-04,2023-01-04
"Emoji Quiz Android Campaign",2023-01-03,recently_completed,campaign,"Emoji Quiz Android Campaign","1-day click","Mobile app installs",831,119233,122568,0.019169675090253,-,-,-,15.93,0.12996867,1608,1.31192481,53317,49864,28685,25661,18290,14505,1333,1384,0.01195049,2023-01-03,2023-01-03
"Emoji Quiz IOS Campaign",2023-01-03,recently_completed,campaign,"Emoji Quiz IOS Campaign","From Apple's SKAdNetwork API [Click-through attribution]","Mobile app installs",125,84417,96885,0.1992,-,-,-,24.9,0.25700573,817,0.84326779,32994,29978,15618,13761,9567,7693,654,700,0.03807339,2023-01-03,2023-01-03
"Emoji Quiz Android Campaign",2023-01-02,recently_completed,campaign,"Emoji Quiz Android Campaign","1-day click","Mobile app installs",1095,112928,121627,0.015662100456621,-,-,-,17.15,0.14100488,2042,1.67890353,54346,51471,31890,29123,20939,16532,1685,1740,0.01017804,2023-01-02,2023-01-02
"Emoji Quiz IOS Campaign",2023-01-02,recently_completed,campaign,"Emoji Quiz IOS Campaign","From Apple's SKAdNetwork API [Click-through attribution]","Mobile app installs",,54976,57590,,-,-,-,9.4,0.16322278,512,0.88904324,22441,20967,12159,10935,7438,5875,394,436,0.02385787,2023-01-02,2023-01-02
"Emoji Quiz Android Campaign",2023-01-01,recently_completed,campaign,"Emoji Quiz Android Campaign","1-day click","Mobile app installs",189,80048,85975,0.039259259259259,-,-,-,7.42,0.08630416,539,0.62692643,20130,18716,11300,9603,6790,5311,441,468,0.0168254,2023-01-01,2023-01-01
"Emoji Quiz Android Campaign",2022-12-31,recently_completed,campaign,"Emoji Quiz Android Campaign","1-day click","Mobile app installs",,0,0,,-,-,-,0,,0,,,,,,,,,0,,2022-12-31,2022-12-31
"Emoji Quiz Android Campaign",2022-12-30,recently_completed,campaign,"Emoji Quiz Android Campaign","1-day click","Mobile app installs",7,1756,1815,0.10571428571429,-,-,-,0.74,0.4077135,18,0.99173554,372,337,196,161,127,111,14,15,0.05285714,2022-12-30,2022-12-30
